Price,Make,Model,Year,Mileage,Transmission,Fuel type,Engine capacity,Condition,vehicle_age
13500000,Toyota,Raize,2025,20.0,Automatic,Petrol,1000.0,Reconditioned,1
5795000,Toyota,Corolla,2001,210000.0,Automatic,Petrol,1500.0,Used,25
29500000,Toyota,Hilux,2026,0.0,Tiptronic,Diesel,2800.0,Brand New,0
40500000,Toyota,Harrier,2025,4500.0,Tiptronic,Hybrid,2500.0,Used,1
68990000,Toyota,Land Cruiser Prado,2024,1000.0,Automatic,Petrol,2700.0,Brand New,2
11250000,Toyota,Taisor,2026,95.0,Automatic,Petrol,1000.0,Brand New,0
13550000,Toyota,Corolla,2023,33000.0,Automatic,Hybrid,1500.0,Reconditioned,3
8950000,Toyota,Yaris,2023,80000.0,Automatic,Petrol,1000.0,Reconditioned,3
8900000,Toyota,Yaris,2023,35000.0,Automatic,Petrol,1000.0,Reconditioned,3
8250000,Toyota,Passo,2023,40000.0,Automatic,Petrol,1000.0,Reconditioned,3
9900000,Toyota,Roomy,2023,8000.0,Automatic,Petrol,1000.0,Reconditioned,3
9000000,Toyota,Roomy,2023,34000.0,Automatic,Petrol,996.0,Reconditioned,3
8600000,Toyota,Axio,2014,233000.0,Automatic,Hybrid,1490.0,Used,12
58500000,Toyota,Land Cruiser,2017,103000.0,Automatic,Petrol,4600.0,Used,9
16000000,Toyota,Axio,2025,19.0,Automatic,Hybrid,1500.0,Brand New,1
11875000,Toyota,Taisor,2026,0.0,Automatic,Petrol,1000.0,Brand New,0
10950000,Toyota,Axio,2016,190000.0,Automatic,Hybrid,1500.0,Used,10
19800000,Toyota,Yaris Ativ,2025,132.0,Automatic,Hybrid,1500.0,Brand New,1
11850000,Toyota,Taisor,2026,0.0,Automatic,Petrol,1000.0,Brand New,0
10600000,Toyota,Prius,2012,146500.0,Automatic,Hybrid,1797.0,Used,14
5650000,Toyota,Vitz,2008,170000.0,Automatic,Petrol,1300.0,Used,18
12450000,Toyota,Axio,2020,108500.0,Automatic,Petrol,1500.0,Used,6
14000000,Toyota,Raize,2025,0.0,Automatic,Hybrid,1200.0,Brand New,1
11490000,Toyota,Yaris,2025,0.0,Automatic,Petrol,1080.0,Brand New,1
12850000,Toyota,CHR,2017,93000.0,Automatic,Petrol,1200.0,Used,9
12000000,Toyota,Urban Cruiser,2026,0.0,Automatic,Petrol,1000.0,Brand New,0
13450000,Toyota,Camry,2013,157000.0,Automatic,Hybrid,2500.0,Used,13
9300000,Toyota,Roomy,2022,33000.0,Automatic,Petrol,1000.0,Reconditioned,4
11500000,Toyota,Camry,2013,290000.0,Automatic,Hybrid,2500.0,Used,13
12500000,Toyota,Corolla,2014,30000.0,Automatic,Petrol,1600.0,Used,12
19500000,Toyota,Hilux,2016,71956.0,Automatic,Diesel,2982.0,Used,10
15760000,Toyota,Land Cruiser Sahara,2000,134000.0,Automatic,Petrol,4700.0,Used,26
15750000,Toyota,Land Cruiser Prado,2008,131000.0,Automatic,Petrol,2700.0,Used,18
13600000,Toyota,Raize,2023,14000.0,Automatic,Hybrid,1200.0,Reconditioned,3
99000000,Toyota,Land Cruiser Prado,2026,10.0,Tiptronic,Petrol,3000.0,Brand New,0
16500000,Toyota,Premio,2018,133000.0,Automatic,Petrol,1500.0,Used,8
12290000,Toyota,Taisor,2026,0.0,Automatic,Petrol,1000.0,Brand New,0
31000000,Toyota,Hilux,2026,0.0,Automatic,Diesel,2800.0,Import,0
6500000,Toyota,Belta,2007,146775.0,Automatic,Petrol,1290.0,Used,19
11250000,Toyota,Crown,1998,150000.0,Automatic,Diesel,2440.0,Used,28
40500000,Toyota,Harrier,2025,3760.0,Automatic,Petrol,2000.0,Reconditioned,1
15200000,Toyota,Premio,2018,98000.0,Automatic,Petrol,1500.0,Used,8
14295000,Toyota,Raize,2025,5.0,Automatic,Hybrid,1200.0,Brand New,1
14500000,Toyota,Raize,2025,0.0,Automatic,Hybrid,1200.0,Brand New,1
14800000,Toyota,Raize,2026,0.0,Automatic,Hybrid,1200.0,Brand New,0
10950000,Toyota,Yaris,2023,3000.0,Automatic,Petrol,1000.0,Reconditioned,3
92000000,Toyota,Land Cruiser Sahara,2026,0.0,Automatic,Petrol,3500.0,Import,0
68000000,Toyota,Land Cruiser Prado,2026,0.0,Automatic,Petrol,2700.0,Brand New,0
11600000,Toyota,Taisor,2026,0.0,Automatic,Petrol,1000.0,Brand New,0
10800000,Toyota,Roomy,2024,3000.0,Automatic,Petrol,990.0,Used,2
61000000,Toyota,Land Cruiser,2025,5000.0,Automatic,Petrol,2800.0,Brand New,1
27590000,Toyota,Harrier,2017,30000.0,Automatic,Petrol,2000.0,Used,9
4000000,Toyota,CHR,2019,119000.0,Automatic,Petrol,1200.0,Reconditioned,7
11990000,Toyota,Taisor,2026,0.0,Automatic,Petrol,1000.0,Brand New,0
7500000,Toyota,Mark,2007,206000.0,Automatic,Petrol,2490.0,Used,19
49000000,Toyota,Land Cruiser Sahara,2012,115000.0,Automatic,Diesel,4500.0,Used,14
8590000,Toyota,Yaris,2023,75000.0,Automatic,Petrol,1000.0,Used,3
14150000,Toyota,Raize,2026,0.0,Automatic,Hybrid,1200.0,Brand New,0
15650000,Toyota,Premio,2018,81000.0,Automatic,Petrol,1500.0,Used,8
31250000,Toyota,Voxy,2025,0.0,Automatic,Hybrid,1800.0,Brand New,1
13650000,Toyota,Raize,2024,14000.0,Automatic,Hybrid,1200.0,Reconditioned,2
11700000,Toyota,Taisor,2026,0.0,Automatic,Petrol,1000.0,Brand New,0
