Price,Make,Model,Year,Mileage,Transmission,Fuel type,Engine capacity,Condition
"Rs 13,500,000",Toyota,Raize,2025,20 km,Automatic,Petrol,"1,000 cc",Reconditioned
"Rs 5,795,000",Toyota,Corolla,2001,"210,000 km",Automatic,Petrol,"1,500 cc",Used
"Rs 29,500,000",Toyota,Hilux,2026,0 km,Tiptronic,Diesel,"2,800 cc",Brand New
"Rs 40,500,000",Toyota,Harrier,2025,"4,500 km",Tiptronic,Hybrid,"2,500 cc",Used
"Rs 68,990,000",Toyota,Land Cruiser Prado,2024,"1,000 km",Automatic,Petrol,"2,700 cc",Brand New
"Rs 11,250,000",Toyota,Taisor,2026,95 km,Automatic,Petrol,"1,000 cc",Brand New
"Rs 13,550,000",Toyota,Corolla,2023,"33,000 km",Automatic,Hybrid,"1,500 cc",Reconditioned
"Rs 8,950,000",Toyota,Yaris,2023,"80,000 km",Automatic,Petrol,"1,000 cc",Reconditioned
"Rs 8,900,000",Toyota,Yaris,2023,"35,000 km",Automatic,Petrol,"1,000 cc",Reconditioned
"Rs 8,250,000",Toyota,Passo,2023,"40,000 km",Automatic,Petrol,"1,000 cc",Reconditioned
"Rs 9,900,000",Toyota,Roomy,2023,"8,000 km",Automatic,Petrol,"1,000 cc",Reconditioned
"Rs 1,400,000",Toyota,Corolla,1977,"10,000 km",Manual,Petrol,"1,200 cc",Used
"Rs 9,000,000",Toyota,Roomy,2023,"34,000 km",Automatic,Petrol,996 cc,Reconditioned
"Rs 8,600,000",Toyota,Axio,2014,"233,000 km",Automatic,Hybrid,"1,490 cc",Used
"Rs 58,500,000",Toyota,Land Cruiser,2017,"103,000 km",Automatic,Petrol,"4,600 cc",Used
"Rs 16,000,000",Toyota,Axio,2025,19 km,Automatic,Hybrid,"1,500 cc",Brand New
"Rs 11,875,000",Toyota,Taisor,2026,0 km,Automatic,Petrol,"1,000 cc",Brand New
"Rs 10,950,000",Toyota,Axio,2016,"190,000 km",Automatic,Hybrid,"1,500 cc",Used
"Rs 19,800,000",Toyota,Yaris Ativ,2025,132 km,Automatic,Hybrid,"1,500 cc",Brand New
"Rs 11,875,000",Toyota,Taisor,2026,0 km,Automatic,Petrol,"1,000 cc",Brand New
"Rs 11,850,000",Toyota,Taisor,2026,0 km,Automatic,Petrol,"1,000 cc",Brand New
