URL,Title,Price,Brand,Model,Trim / Edition,Year of Manufacture,Condition,Transmission,Body type,Fuel type,Engine capacity,Mileage
https://ikman.lk/en/ad/toyota-raize-z-2025-for-sale-colombo-117,Toyota Raize Z 2025,"Rs 13,500,000",Toyota,Raize,Z,2025,Reconditioned,Automatic,SUV / 4x4,Petrol,"1,000 cc",20 km
https://ikman.lk/en/ad/toyota-corolla-2001-for-sale-monaragala-1,Toyota Corolla 2001,"Rs 5,795,000",Toyota,Corolla,2001,2001,Used,Automatic,Saloon,Petrol,"1,500 cc","210,000 km"
https://ikman.lk/en/ad/toyota-hilux-travo-overland-plus-2026-for-sale-colombo-155,Toyota Hilux Travo Overland Plus 2026,"Rs 29,500,000",Toyota,Hilux,Travo Overland Plus,2026,Brand New,Tiptronic,SUV / 4x4,Diesel,"2,800 cc",0 km
https://ikman.lk/en/ad/toyota-harrier-hybrid-2025-for-sale-colombo-1,Toyota Harrier Hybrid 2025,"Rs 40,500,000",Toyota,Harrier,Harrier Hybrid,2025,Used,Tiptronic,SUV / 4x4,Hybrid,"2,500 cc","4,500 km"
https://ikman.lk/en/ad/toyota-land-cruiser-prado-1st-edition-lc250-2024-for-sale-colombo-7,Toyota Land Cruiser Prado 1ST EDITION LC250 2024,"Rs 68,990,000",Toyota,Land Cruiser Prado,1ST EDITION LC250,2024,Brand New,Automatic,SUV / 4x4,Petrol,"2,700 cc","1,000 km"
https://ikman.lk/en/ad/toyota-taisor-urban-cruiser-g-2026-for-sale-colombo-1,Toyota Taisor Urban Cruiser G 2026,"Rs 11,250,000",Toyota,Taisor,Urban Cruiser G,2026,Brand New,Automatic,SUV / 4x4,Petrol,"1,000 cc",95 km
https://ikman.lk/en/ad/toyota-corolla-fielder-2023-for-sale-colombo-9,Toyota Corolla fielder 2023,"Rs 13,550,000",Toyota,Corolla,fielder,2023,Reconditioned,Automatic,Station wagon,Hybrid,"1,500 cc","33,000 km"
https://ikman.lk/en/ad/toyota-yaris-x-limited-2023-for-sale-colombo-65,Toyota Yaris x limited 2023,"Rs 8,950,000",Toyota,Yaris,x limited,2023,Reconditioned,Automatic,Hatchback,Petrol,"1,000 cc","80,000 km"
https://ikman.lk/en/ad/toyota-yaris-x-grade-push-start-2023-for-sale-colombo-10,Toyota Yaris X Grade Push Start 2023,"Rs 8,900,000",Toyota,Yaris,X Grade Push Start,2023,Reconditioned,Automatic,Saloon,Petrol,"1,000 cc","35,000 km"
https://ikman.lk/en/ad/toyota-passo-x-2023-for-sale-colombo-25,Toyota Passo X 2023,"Rs 8,250,000",Toyota,Passo,X,2023,Reconditioned,Automatic,Hatchback,Petrol,"1,000 cc","40,000 km"
https://ikman.lk/en/ad/toyota-roomy-custom-g-gt-2023-for-sale-colombo,Toyota Roomy Custom G / GT 2023,"Rs 9,900,000",Toyota,Roomy,Custom G / GT,2023,Reconditioned,Automatic,Hatchback,Petrol,"1,000 cc","8,000 km"
https://ikman.lk/en/ad/toyota-corolla-ke30-1977-for-sale-colombo,Toyota Corolla KE30 1977,"Rs 1,400,000",Toyota,Corolla,KE30,1977,Used,Manual,Saloon,Petrol,"1,200 cc","10,000 km"
https://ikman.lk/en/ad/toyota-roomy-g-grade-2023-for-sale-colombo-55,Toyota Roomy G Grade 2023,"Rs 9,000,000",Toyota,Roomy,G Grade,2023,Reconditioned,Automatic,MPV,Petrol,996 cc,"34,000 km"
https://ikman.lk/en/ad/toyota-axio-2014-for-sale-colombo-1563,Toyota Axio 2014,"Rs 8,600,000",Toyota,Axio,2014,2014,Used,Automatic,,Hybrid,"1,490 cc","233,000 km"
https://ikman.lk/en/ad/toyota-land-cruiser-202-v8-zx-2017-for-sale-colombo,Toyota Land Cruiser 202 V8 ZX 2017,"Rs 58,500,000",Toyota,Land Cruiser,202 V8 ZX,2017,Used,Automatic,Hatchback,Petrol,"4,600 cc","103,000 km"
https://ikman.lk/en/ad/toyota-axio-2025-for-sale-colombo-12,Toyota Axio 2025,"Rs 16,000,000",Toyota,Axio,2025,2025,Brand New,Automatic,Saloon,Hybrid,"1,500 cc",19 km
https://ikman.lk/en/ad/toyota-taisor-v-grade-highest-spec-2026-for-sale-colombo-49,Toyota Taisor V Grade Highest Spec 2026,"Rs 11,875,000",Toyota,Taisor,V Grade Highest Spec,2026,Brand New,Automatic,Hatchback,Petrol,"1,000 cc",0 km
https://ikman.lk/en/ad/toyota-axio-g-grade-2016-for-sale-colombo-1085,Toyota Axio G Grade 2016,"Rs 10,950,000",Toyota,Axio,G Grade,2016,Used,Automatic,Saloon,Hybrid,"1,500 cc","190,000 km"
https://ikman.lk/en/ad/toyota-yaris-ativ-hev-gr-sport-2025-for-sale-colombo-7,Toyota Yaris Ativ HEV GR Sport 2025,"Rs 19,800,000",Toyota,Yaris Ativ,HEV GR Sport,2025,Brand New,Automatic,Saloon,Hybrid,"1,500 cc",132 km
https://ikman.lk/en/ad/toyota-taisor-v-grade-highest-spec-2026-for-sale-colombo-51,Toyota Taisor V Grade Highest Spec 2026,"Rs 11,875,000",Toyota,Taisor,V Grade Highest Spec,2026,Brand New,Automatic,Hatchback,Petrol,"1,000 cc",0 km
