URL,Title,Price,Location,Year,Mileage,Make,Model,Gear,Fuel Type,Engine (cc),Condition,Ad Date,Options,Start Type
https://riyasewana.com/buy/toyota-axio-sale-dehiwala-mount-lavinia-11636846,Toyota Axio 2012 Car (Used),Negotiable,Dehiwala-Mount-Lavinia,2012,"150,000 km",Toyota,Axio,Automatic,Petrol,1500,Registered (Used),"2026 May 14, 9:53 pm","['AIR CONDITION', 'POWER STEERING', 'POWER MIRROR', 'POWER WINDOW']",
https://riyasewana.com/buy/mitsubishi-montero-sale-gampaha-11590921,Mitsubishi Montero 2007 SUV (Used),"Rs. 12,700,000",Gampaha,2007,"210,000 km",Mitsubishi,Montero,Automatic,Petrol,3500,Registered (Used),"2026 May 06, 11:07 am","['AIR CONDITION', 'POWER STEERING', 'POWER MIRROR', 'POWER WINDOW']",
https://riyasewana.com/buy/toyota-premio-g-sale-colombo-11612353,Toyota Premio G SUPERIOR 2018 Car (Used),Negotiable,Colombo,2018,"130,000 km",Toyota,Premio G SUPERIOR,Automatic,Petrol,150,Registered (Used),"2026 May 10, 8:06 am","['AIR CONDITION', 'POWER STEERING', 'POWER MIRROR', 'POWER WINDOW']",
https://riyasewana.com/buy/mahindra-kuv-100-sale-mirigama-11628692,Mahindra KUV 100 2022 SUV (Used),"Rs. 5,500,000",Mirigama,2022,"41,000 km",Mahindra,KUV 100,Manual,Petrol,1000,Registered (Used),"2026 May 13, 10:33 am","['AIR CONDITION', 'POWER STEERING', 'POWER MIRROR', 'POWER WINDOW']",
https://riyasewana.com/buy/tvs-streak-sale-avissawella-11648568,TVS Scooty Streak 2011 Motorbike (Used),"Rs. 145,000",Avissawella,2011,15 km,TVS,Scooty Streak,,,90,Registered (Used),"2026 May 16, 11:50 pm",[],Kick / Electric
https://riyasewana.com/buy/toyota-axio-limited-sale-katunayake-11648567,Toyota Axio Limited 2009 Car (Used),Negotiable,Katunayake,2009,"138,011 km",Toyota,Axio Limited,Automatic,Petrol,1500,Registered (Used),"2026 May 16, 11:50 pm","['AIR CONDITION', 'POWER STEERING', 'POWER MIRROR', 'POWER WINDOW']",
https://riyasewana.com/buy/suzuki-suzuki-sale-kandy-11648566,Suzuki Suzuki 2005 Car (Used),"Rs. 1,595,000",Kandy,2005,-,Suzuki,Suzuki,Manual,Petrol,800,Registered (Used),"2026 May 16, 11:49 pm",['AIR CONDITION'],
https://riyasewana.com/buy/tvs-ntorq-sale-malabe-11629725,TVS Ntorq 2024 Motorbike (Used),Negotiable,Malabe,2024,"22,000 km",TVS,Ntorq,,,125,Registered (Used),"2026 May 16, 11:49 pm",[],Kick / Electric
https://riyasewana.com/buy/jmc-jmc-sale-kurunegala-11648565,JMC Crewe Cab 2018 Crew Cab (Used),"Rs. 4,900,000",Kurunegala,2018,"140,000 km",JMC,Crewe Cab,Manual,Diesel,2800,Registered (Used),"2026 May 16, 11:49 pm","['AIR CONDITION', 'POWER STEERING']",
https://riyasewana.com/buy/toyota-passo-xl-sale-kottawa-11611601,Toyota PASSO XL 2023 Car Unregistered (Recondition),"Rs. 8,250,000",Kottawa,2023,"41,500 km",Toyota,PASSO XL,Automatic,Petrol,1000,Unregistered (Recondition),"2026 May 16, 11:49 pm","['AIR CONDITION', 'POWER STEERING', 'POWER MIRROR', 'POWER WINDOW']",
https://riyasewana.com/buy/bajaj-re-sale-kurunegala-11648562,Bajaj Re 2011 Three Wheel (Used),"Rs. 1,250,000",Kurunegala,2011,"65,000 km",Bajaj,Re,Manual,Petrol,205,Registered (Used),"2026 May 16, 11:43 pm",[],
https://riyasewana.com/buy/bajaj-re-sale-kegalle-11648561,Bajaj RE 1993 Three Wheel Unregistered (Recondition),Negotiable,Kegalle,1993,"12,345 km",Bajaj,RE,Manual,Petrol,150,Unregistered (Recondition),"2026 May 16, 11:43 pm",[],
https://riyasewana.com/buy/chery-qq-sale-colombo-11648560,Chery QQ 2010 Car (Used),"Rs. 1,625,000",Colombo,2010,"86,000 km",Chery,QQ,Manual,Petrol,800,Registered (Used),"2026 May 16, 11:43 pm","['AIR CONDITION', 'POWER STEERING', 'POWER MIRROR', 'POWER WINDOW']",
https://riyasewana.com/buy/mazda-rx-8ed-sale-dehiwala-mount-lavinia-11648559,Mazda RX-8ed 2008 Car (Used),"Rs. 7,900,000",Dehiwala-Mount-Lavinia,2008,"69,000 km",Mazda,RX-8ed,Automatic,Petrol,1300,Registered (Used),"2026 May 16, 11:42 pm","['AIR CONDITION', 'POWER STEERING', 'POWER MIRROR', 'POWER WINDOW']",
https://riyasewana.com/buy/bajaj-pulsar-150-sale-matale-11648558,Bajaj Pulsar 150 2016 Motorbike (Used),"Rs. 520,000",Matale,2016,"79,000 km",Bajaj,Pulsar 150,,,650,Registered (Used),"2026 May 16, 11:41 pm",[],Kick / Electric
https://riyasewana.com/buy/toyota-allion-sale-hambantota-11648557,Toyota Allion 2010 Car (Used),"Rs. 8,950,000",Hambantota,2010,"168,000 km",Toyota,Allion,Automatic,Petrol,1500,Registered (Used),"2026 May 16, 11:41 pm","['AIR CONDITION', 'POWER STEERING', 'POWER MIRROR', 'POWER WINDOW']",
https://riyasewana.com/buy/suzuki-wagon-r-sale-colombo-11648555,Suzuki Wagon R Stingray 2018 Car (Used),Negotiable,Colombo,2018,"4,360 km",Suzuki,Wagon R Stingray,Automatic,Hybrid,-,Registered (Used),"2026 May 16, 11:40 pm",[],
https://riyasewana.com/buy/yadea-e8s-sale-galle-11648554,Yadea E8s 2024 Motorbike (Used),"Rs. 385,000",Galle,2024,"28,000 km",Yadea,E8s,,,2,Registered (Used),"2026 May 16, 11:39 pm",[],Electric
https://riyasewana.com/buy/suzuki-alto-sale-kandy-11648553,Suzuki Alto 2012 Car (Used),"Rs. 3,285,000",Kandy,2012,150 km,Suzuki,Alto,Manual,Petrol,800,Registered (Used),"2026 May 16, 11:36 pm","['AIR CONDITION', 'POWER STEERING']",
https://riyasewana.com/buy/nissan-sunny-b211-sale-mawanella-11648550,Nissan Sunny B211 1981 Car (Used),"Rs. 875,000",Mawanella,1981,"10,000 km",Nissan,Sunny B211,Manual,Petrol,1200,Registered (Used),"2026 May 16, 11:34 pm",['POWER STEERING'],
https://riyasewana.com/buy/tvs-center-sale-kandy-11648549,TVS Center 2006 Motorbike (Used),"Rs. 125,000",Kandy,2006,"36,588 km",TVS,Center,,,100,Registered (Used),"2026 May 16, 11:34 pm",[],Kick
